tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2003-496,Marseille,Hard,32,A,20030210,31,103819,1,,Roger Federer,R,185,SUI,21.5,102035,,,Jonas Bjorkman,R,183,SWE,30.8,6-2 7-6(6),3,F,84,5,2,63,41,35,10,10,1,2,8,2,80,60,37,9,10,7,10,6,2415,86,480
2011-496,Marseille,Hard,28,A,20110214,27,104417,1,,Robin Soderling,R,193,SWE,26.5,105227,,,Marin Cilic,R,198,CRO,22.3,6-7(8) 6-3 6-3,3,F,126,12,1,94,66,50,16,15,2,4,16,5,103,59,46,15,15,3,8,4,5955,28,1395
2016-0496,Marseille,Hard,32,A,20160215,300,106401,,,Nick Kyrgios,R,193,AUS,20.8,105227,4,,Marin Cilic,R,198,CRO,27.3,6-2 7-6(3),3,F,85,17,1,57,37,35,12,10,1,1,8,2,81,48,36,13,10,9,11,41,990,12,2495
2020-0496,Marseille,Hard,32,A,20200217,300,126774,2,,Stefanos Tsitsipas,R,193,GRE,21.5,200000,7,,Felix Auger Aliassime,R,193,CAN,19.5,6-3 6-4,3,F,86,4,0,56,41,32,8,10,4,5,3,3,61,39,26,9,9,6,9,6,4745,18,1921
2008-496,Marseille,Hard,32,A,20080211,31,104918,4,,Andy Murray,R,190,GBR,20.7,104339,,WC,Mario Ancic,R,196,CRO,23.8,6-3 6-4,3,F,113,11,1,79,40,33,17,10,9,10,4,1,59,39,24,8,9,5,8,11,1685,135,315
2013-496,Marseille,Hard,28,A,20130218,27,104542,3,,Jo-Wilfried Tsonga,R,188,FRA,27.8,104607,1,,Tomas Berdych,R,196,CZE,27.4,3-6 7-6(6) 6-4,3,F,130,17,3,106,75,58,13,15,6,7,11,2,91,62,53,16,16,1,2,8,3515,6,4485
2000-496,Marseille,Hard,32,A,20000207,31,101820,,,Marc Rosset,R,201,SUI,29.2,103819,,WC,Roger Federer,R,185,SUI,18.4,2-6 6-3 7-6(5),3,F,118,10,9,93,45,40,24,15,3,6,5,2,87,46,34,26,14,3,5,77,524,67,582
2019-0496,Marseille,Hard,32,A,20190218,300,126774,1,,Stefanos Tsitsipas,R,193,GRE,20.5,105062,,,Mikhail Kukushkin,R,183,KAZ,31.1,7-5 7-6(5),3,F,118,14,0,76,49,41,15,12,3,4,2,0,91,60,40,17,12,3,5,12,2805,50,945
2006-496,Marseille,Hard,32,A,20060213,31,103096,,WC,Arnaud Clement,R,173,FRA,28.1,104339,6,,Mario Ancic,R,196,CRO,21.8,6-4 6-2,3,F,92,4,1,59,29,22,18,9,3,3,6,2,57,28,22,11,9,2,5,65,576,21,1390
2023-0496,Marseille,Hard,32,A,20230220,300,128034,1,,Hubert Hurkacz,R,196,POL,26,126127,,,Benjamin Bonzi,R,183,FRA,26.6,6-3 7-6(4),3,F,90,19,1,69,44,41,11,11,3,4,4,2,68,45,33,11,10,3,5,11,2995,60,794
2018-0496,Marseille,Hard,32,A,20180219,300,111575,9,,Karen Khachanov,R,198,RUS,21.7,106298,3,,Lucas Pouille,R,185,FRA,23.9,7-5 3-6 7-5,3,F,109,16,2,80,54,41,18,16,1,3,13,4,101,61,47,21,17,7,10,47,1030,16,2335
2009-496,Marseille,Hard,32,A,20090216,31,104542,4,,Jo-Wilfried Tsonga,R,188,FRA,23.8,103566,,,Michael Llodra,L,190,FRA,28.7,7-5 7-6(3),3,F,104,11,0,69,46,40,11,12,1,2,7,4,80,46,34,17,12,4,6,12,3200,50,1365
2010-496,Marseille,Hard,28,A,20100215,27,103566,,,Michael Llodra,L,190,FRA,29.7,103898,8,,Julien Benneteau,R,185,FRA,28.1,6-3 6-4,3,F,71,14,4,59,39,33,11,10,0,0,6,3,48,31,24,8,9,0,2,79,617,39,1004
2004-496,Marseille,Hard,32,A,20040223,31,103103,,,Dominik Hrbaty,R,183,SVK,26.1,104417,,,Robin Soderling,R,193,SWE,19.5,4-6 6-4 6-4,3,F,100,15,1,84,60,51,11,15,3,4,17,2,88,51,41,20,15,2,4,44,842,57,632
2001-496,Marseille,Hard,32,A,20010212,31,102338,2,,Yevgeny Kafelnikov,R,190,RUS,26.9,103206,4,,Sebastien Grosjean,R,175,FRA,22.7,7-6(5) 6-2,3,F,84,3,0,68,37,27,17,10,2,5,5,0,58,24,14,17,10,3,8,7,2485,14,1700
2005-496,Marseille,Hard,32,A,20050207,31,104026,3,,Joachim Johansson,R,198,SWE,22.6,103344,8,,Ivan Ljubicic,R,193,CRO,25.8,7-5 6-4,3,F,80,19,3,58,34,29,16,11,0,0,13,1,62,41,33,9,11,2,4,11,1820,22,1260
2022-0496,Marseille,Hard,32,A,20220214,300,126094,2,,Andrey Rublev,R,188,RUS,24.3,200000,3,,Felix Auger Aliassime,R,193,CAN,21.5,7-5 7-6(4),3,F,116,9,3,77,51,36,13,12,2,5,12,4,77,47,33,11,12,7,11,7,4700,9,4018
2024-0496,Marseille,Hard,32,A,20240205,300,200005,4,,Ugo Humbert,L,188,FRA,25.6,105777,2,,Grigor Dimitrov,R,191,BUL,32.7,6-4 6-3,3,F,83,10,1,55,38,33,10,10,2,2,6,2,57,38,30,7,9,2,4,21,1775,13,2785
2017-0496,Marseille,Hard,32,A,20170220,300,104542,2,,Jo-Wilfried Tsonga,R,188,FRA,31.8,106298,4,,Lucas Pouille,R,185,FRA,22.9,6-4 6-4,3,F,69,7,0,46,33,30,10,10,0,0,4,1,58,34,25,12,10,1,3,11,3230,17,2131
2012-496,Marseille,Hard,28,A,20120220,27,105223,4,,Juan Martin del Potro,R,198,ARG,23.4,103566,,,Michael Llodra,L,190,FRA,31.7,6-4 6-4,3,F,83,11,1,55,40,36,6,10,0,0,10,2,66,44,28,13,10,6,8,10,2705,50,870
2002-496,Marseille,Hard,32,A,20020211,31,102358,,,Thomas Enqvist,R,190,SWE,27.9,102765,,,Nicolas Escude,R,185,FRA,25.8,6-7(4) 6-3 6-1,3,F,113,12,3,87,54,43,21,14,1,1,19,4,92,49,36,20,14,5,9,24,1200,27,1160
1998-496,Marseille,Hard,32,A,19980202,31,102358,6,,Thomas Enqvist,R,190,SWE,23.8,102338,1,,Yevgeny Kafelnikov,R,190,RUS,23.9,6-4 6-1,3,F,58,5,4,39,11,10,20,8,2,3,6,4,63,35,20,9,9,9,14,29,1221,7,2690
2014-496,Marseille,Hard,28,A,20140217,27,105208,3,,Ernests Gulbis,R,190,LAT,25.4,104542,2,,Jo-Wilfried Tsonga,R,188,FRA,28.8,7-6(5) 6-4,3,F,94,14,3,66,41,35,16,11,2,2,8,0,74,50,40,11,11,10,11,23,1558,10,2885
1999-496,Marseille,Hard,32,A,19990201,31,102148,,,Fabrice Santoro,R,178,FRA,26.1,103096,,WC,Arnaud Clement,R,173,FRA,21.1,6-3 4-6 6-4,3,F,137,8,2,91,52,35,18,14,8,12,4,5,113,54,39,20,15,6,12,59,767,103,472
2007-496,Marseille,Hard,32,A,20070212,31,104468,,,Gilles Simon,R,183,FRA,22.1,104571,7,,Marcos Baghdatis,R,183,CYP,21.6,6-4 7-6(3),3,F,97,4,0,77,44,32,15,11,2,4,6,0,68,40,26,14,11,3,6,58,625,17,1365
2008-421,Master Montreal,Hard,56,M,20080721,55,104745,2,,Rafael Nadal,L,185,ESP,22.1,103017,,,Nicolas Kiefer,R,183,GER,31,6-3 6-2,3,F,90,2,1,52,34,26,12,8,3,3,7,5,51,24,20,8,9,0,4,2,5830,37,920
2014-421,Master Montreal,Hard,56,M,20140804,55,104542,13,,Jo-Wilfried Tsonga,R,188,FRA,29.2,103819,2,,Roger Federer,R,185,SUI,32.9,7-5 7-6(3),3,F,108,11,2,70,35,33,22,12,0,0,7,4,100,64,45,18,12,6,7,15,1910,3,6070
2000-421,Master Montreal,Hard,64,M,20000731,63,103498,8,,Marat Safin,R,193,RUS,20.5,103248,,Q,Harel Levy,R,185,ISR,21.9,6-2 6-3,3,F,54,3,0,48,23,19,17,9,4,5,3,3,45,27,15,7,8,2,6,9,1951,144,278
2012-421,Master Montreal,Hard,48,M,20120806,47,104925,1,,Novak Djokovic,R,188,SRB,25.2,104755,14,,Richard Gasquet,R,185,FRA,26.1,6-3 6-2,3,F,62,5,0,46,31,26,12,9,4,4,3,1,42,25,19,5,8,0,3,2,11270,21,1600
1998-421,Master Montreal,Hard,56,M,19980803,55,102158,3,,Patrick Rafter,R,185,AUS,25.5,101990,6,,Richard Krajicek,R,196,NED,26.6,7-6(3) 6-4,3,F,91,4,2,69,45,34,14,11,1,2,10,3,66,37,25,15,11,3,5,5,2878,9,2368
2024-0421,Master Montreal,Hard,64,M,20240805,300,200615,,,Alexei Popyrin,R,196,AUS,25,126094,5,,Andrey Rublev,R,188,RUS,26.7,6-2 6-4,3,F,89,10,3,64,38,32,9,9,5,6,4,5,62,27,17,14,9,5,9,62,821,8,3975
2004-421,Master Montreal,Hard,64,M,20040726,63,103819,1,,Roger Federer,R,185,SUI,22.9,104053,2,,Andy Roddick,R,188,USA,21.9,7-5 6-3,3,F,85,13,1,65,38,28,19,11,4,4,4,2,72,49,33,11,10,7,9,1,5665,2,4945
2006-421,Master Montreal,Hard,64,M,20060807,63,103819,1,,Roger Federer,R,185,SUI,24.9,104755,,,Richard Gasquet,R,185,FRA,20.1,2-6 6-3 6-2,3,F,107,6,4,88,50,37,18,13,8,10,2,3,77,44,32,15,12,8,11,1,7260,51,775
2016-0421,Master Montreal,Hard,64,M,20160725,300,104925,1,,Novak Djokovic,R,188,SRB,29.1,105453,3,,Kei Nishikori,R,178,JPN,26.5,6-3 7-5,3,F,82,5,0,58,44,36,6,11,1,2,4,2,59,41,26,9,10,2,5,1,15040,6,4290
2002-421,Master Montreal,Hard,64,M,20020729,63,103084,,,Guillermo Canas,R,185,ARG,24.6,104053,12,,Andy Roddick,R,188,USA,19.9,6-4 7-5,3,F,76,9,1,56,36,29,13,11,0,1,9,5,55,37,26,10,11,1,4,19,1530,12,1825
2022-0421,Master Montreal,Hard,64,M,20220808,300,105807,,,Pablo Carreno Busta,R,188,ESP,31,128034,8,,Hubert Hurkacz,R,196,POL,25.4,3-6 6-3 6-3,3,F,105,4,0,68,44,32,17,13,0,1,18,3,76,53,42,7,14,0,3,23,1555,10,3015
2018-0421,Master Montreal,Hard,64,M,20180806,300,104745,1,,Rafael Nadal,L,185,ESP,32.1,126774,,,Stefanos Tsitsipas,R,193,GRE,19.9,6-2 7-6(4),3,F,101,4,2,57,32,30,15,10,2,3,3,0,62,35,25,14,10,3,6,1,9310,27,1534
2010-421,Master Montreal,Hard,56,M,20100809,55,104918,4,,Andy Murray,R,190,GBR,23.2,103819,3,,Roger Federer,R,185,SUI,29,7-5 7-5,3,F,125,6,5,65,35,26,15,12,1,4,4,1,67,43,27,11,12,5,10,4,5305,3,6795
2019-0421,Master Toronto,Hard,64,M,20190805,300,104745,1,,Rafael Nadal,L,185,ESP,33.1,106421,8,,Daniil Medvedev,R,198,RUS,23.4,6-3 6-0,3,F,70,0,1,46,33,27,8,8,1,1,5,5,49,31,19,6,7,4,8,2,7945,9,2745
2017-0421,Master Toronto,Hard,64,M,20170807,300,100644,4,,Alexander Zverev,R,198,GER,20.2,103819,2,,Roger Federer,R,185,SUI,35.9,6-3 6-4,3,F,68,6,1,59,41,33,11,10,3,3,2,2,53,27,19,15,9,4,6,8,3560,3,6545
2009-421,Master Toronto,Hard,56,M,20090810,55,104918,3,,Andy Murray,R,190,GBR,22.2,105223,6,,Juan Martin del Potro,R,198,ARG,20.8,6-7(4) 7-6(3) 6-1,3,F,165,16,1,89,46,39,29,16,1,3,11,5,121,69,46,25,15,6,10,3,8260,6,5155
2007-421,Master Toronto,Hard,56,M,20070805,55,104925,3,,Novak Djokovic,R,188,SRB,20.2,103819,1,,Roger Federer,R,185,SUI,25.9,7-6(2) 2-6 7-6(2),3,F,133,6,3,96,63,44,19,16,4,9,15,1,102,69,53,14,16,3,6,4,3200,1,7290
2013-421,Master Toronto,Hard,56,M,20130805,55,104745,4,,Rafael Nadal,L,185,ESP,27.1,105683,11,,Milos Raonic,R,196,CAN,22.6,6-2 6-2,3,F,68,4,0,40,28,22,11,8,3,3,4,3,46,23,14,10,8,0,4,4,6860,13,2225
2001-421,Master Toronto,Hard,64,M,20010730,63,102318,,,Andrei Pavel,R,183,ROU,27.5,102158,9,,Patrick Rafter,R,185,AUS,28.5,7-6(3) 2-6 6-3,3,F,124,7,1,95,56,43,22,15,3,5,14,3,86,53,43,17,14,1,2,43,815,9,2120
2003-421,Master Toronto,Hard,64,M,20030804,63,104053,6,,Andy Roddick,R,188,USA,20.9,103900,,,David Nalbandian,R,180,ARG,21.5,6-1 6-3,3,F,63,6,1,42,26,21,10,8,1,2,1,1,47,25,15,7,8,3,8,7,2630,21,1235
1999-421,Master Toronto,Hard,56,M,19990802,55,102563,11,,Thomas Johansson,R,180,SWE,24.3,102338,3,,Yevgeny Kafelnikov,R,190,RUS,25.4,1-6 6-3 6-3,3,F,121,6,3,95,48,31,18,12,7,12,6,5,86,53,33,11,13,4,10,22,1437,4,3273
2011-421,Master Toronto,Hard,56,M,20110808,55,104925,1,,Novak Djokovic,R,188,SRB,24.2,103888,6,,Mardy Fish,R,188,USA,29.6,6-2 3-6 6-4,3,F,144,4,2,96,61,43,18,14,8,10,8,3,83,43,31,19,13,5,8,1,12860,8,2505
2005-421,Master Toronto,Hard,64,M,20050808,63,104745,1,,Rafael Nadal,L,185,ESP,19.1,101736,4,,Andre Agassi,R,180,USA,35.2,6-3 4-6 6-2,3,F,118,7,1,81,54,39,19,14,2,3,7,4,75,43,31,16,13,3,6,2,4030,7,1915
2023-0421,Master Toronto,Hard,64,M,20230807,300,206173,7,,Jannik Sinner,R,191,ITA,21.9,200282,,,Alex De Minaur,R,183,AUS,24.4,6-4 6-1,3,F,89,5,3,52,26,19,15,9,2,4,1,1,53,28,13,10,8,5,10,8,3815,18,2085
2015-421,Master Toronto,Hard,56,M,20150810,55,104918,2,,Andy Murray,R,190,GBR,28.2,104925,1,,Novak Djokovic,R,188,SRB,28.2,6-4 4-6 6-3,3,F,,8,5,124,75,52,22,15,11,14,5,2,106,64,42,20,14,15,19,3,7840,1,13755
2021-0421,Master Toronto,Hard,64,M,20210809,300,106421,1,,Daniil Medvedev,R,198,RUS,25.4,124187,,,Reilly Opelka,R,211,USA,23.9,6-4 6-3,3,F,85,6,5,52,26,23,16,9,4,4,8,3,78,57,36,8,10,4,7,2,9643,32,1741
2022-9665,Melbourne,Hard,32,A,20220103,300,104745,1,,Rafael Nadal,L,185,ESP,35.5,202195,,Q,Maxime Cressy,R,198,USA,24.6,7-6(6) 6-3,3,F,107,9,4,64,41,32,15,11,0,1,8,3,70,50,32,12,10,6,8,6,4875,112,683
2000-402,Memphis,Hard,48,A,20000214,47,101723,16,,Magnus Larsson,R,193,SWE,29.8,101647,13,,Byron Black,R,175,ZIM,30.3,6-2 1-6 6-3,3,F,92,16,3,80,56,37,10,12,6,9,2,2,70,46,27,15,12,2,6,78,519,76,530
2009-402,Memphis,Hard,32,A,20090216,31,104053,1,,Andy Roddick,R,188,USA,26.4,103285,5,,Radek Stepanek,R,185,CZE,30.2,7-5 7-5,3,F,104,8,1,78,53,37,13,12,3,4,7,3,67,38,28,15,12,1,4,6,4510,19,2640
2008-402,Memphis,Hard,32,A,20080225,31,104327,,,Steve Darcis,R,178,BEL,23.9,104417,8,,Robin Soderling,R,193,SWE,23.5,6-3 7-6(5),3,F,75,13,3,69,48,39,13,11,1,1,14,2,60,38,33,10,10,2,3,81,497,42,770
2017-0402,Memphis,Hard,32,A,20170213,300,105992,,,Ryan Harrison,R,183,USA,24.7,105932,,,Nikoloz Basilashvili,R,185,GEO,24.9,6-1 6-4,3,F,76,9,0,66,37,25,18,9,12,12,1,2,48,30,19,7,8,4,7,62,746,67,714
2012-402,Memphis,Hard,32,A,20120220,31,103781,,,Jurgen Melzer,L,183,AUT,30.7,105683,4,,Milos Raonic,R,196,CAN,21.1,7-5 7-6(4),3,F,98,9,2,80,50,38,19,12,4,5,22,3,73,46,40,12,12,1,3,38,1052,35,1090
2003-402,Memphis,Hard,32,A,20030217,31,103758,,,Taylor Dent,R,188,USA,21.8,104053,1,,Andy Roddick,R,188,USA,20.4,6-1 6-4,3,F,60,11,4,49,19,17,22,9,3,3,7,3,53,34,23,7,8,1,4,68,597,6,2460
2005-402,Memphis,Hard,32,A,20050214,31,102202,,,Kenneth Carlsen,L,190,DEN,31.8,103018,8,,Max Mirnyi,R,196,BLR,27.6,7-5 7-5,3,F,98,9,1,70,51,38,14,12,4,4,15,5,80,50,41,10,12,8,10,87,468,39,895
2006-402,Memphis,Hard,32,A,20060220,31,103163,6,,Tommy Haas,R,188,GER,27.8,104417,,,Robin Soderling,R,193,SWE,21.5,6-3 6-2,3,F,61,8,3,58,36,27,13,9,4,4,5,1,41,29,19,6,8,2,5,30,970,87,440
2001-402,Memphis,Hard,48,A,20010219,47,102882,2,,Mark Philippoussis,R,196,AUS,24.2,102106,9,,Davide Sanguinetti,R,188,ITA,28.4,6-3 6-7(5) 6-3,3,F,122,31,2,88,62,53,15,16,0,1,6,4,96,65,47,12,14,7,10,18,1550,69,591
2016-0402,Memphis,Hard,32,A,20160208,300,105453,1,,Kei Nishikori,R,178,JPN,26.1,126203,,WC,Taylor Fritz,R,193,USA,18.2,6-4 6-4,3,F,79,1,0,60,38,31,11,10,5,6,9,1,68,39,28,13,10,11,14,7,4235,145,414
2002-402,Memphis,Hard,32,A,20020218,31,104053,2,,Andy Roddick,R,188,USA,19.4,103484,8,,James Blake,R,185,USA,22.1,6-4 3-6 7-5,3,F,107,10,1,86,60,43,13,15,3,6,11,3,101,57,43,20,16,2,6,17,1618,64,579
2011-402,Memphis,Hard,32,A,20110214,31,104053,1,,Andy Roddick,R,188,USA,28.4,105683,,WC,Milos Raonic,R,196,CAN,20.1,7-6(7) 6-7(11) 7-5,3,F,157,20,4,113,67,54,31,18,6,8,32,3,123,74,61,26,18,7,10,8,3325,59,837
2007-402,Memphis,Hard,32,A,20070219,31,103163,2,,Tommy Haas,R,188,GER,28.8,104053,1,,Andy Roddick,R,188,USA,24.4,6-3 6-2,3,F,62,8,2,43,25,24,12,9,0,0,7,2,53,27,20,10,8,5,8,9,2020,4,2715
2013-402,Memphis,Hard,32,A,20130218,31,105453,5,,Kei Nishikori,R,178,JPN,23.1,103852,,,Feliciano Lopez,L,188,ESP,31.4,6-2 6-3,3,F,67,3,1,43,28,22,12,8,4,4,8,3,57,38,28,3,9,4,8,22,1690,47,870
2015-402,Memphis,Hard,28,A,20150209,27,105453,1,,Kei Nishikori,R,178,JPN,25.1,104731,2,,Kevin Anderson,R,203,RSA,28.7,6-4 6-4,3,F,76,4,2,61,31,25,18,10,2,3,12,1,50,37,28,5,10,1,4,5,5205,15,2125
2010-402,Memphis,Hard,32,A,20100215,31,105023,8,,Sam Querrey,R,198,USA,22.3,104545,6,,John Isner,R,206,USA,24.8,6-7(3) 7-6(5) 6-3,3,F,119,17,2,93,50,41,34,16,3,3,19,1,99,65,53,21,17,2,4,31,1260,25,1430
1998-402,Memphis,Hard,48,A,19980216,47,102882,4,,Mark Philippoussis,R,196,AUS,21.2,102021,2,,Michael Chang,R,175,USA,25.9,6-3 6-2,3,F,79,16,4,56,33,29,11,9,4,4,5,0,60,39,22,11,8,4,7,16,1809,5,2785
2014-402,Memphis,Hard,28,A,20140210,27,105453,1,,Kei Nishikori,R,178,JPN,24.1,103333,,,Ivo Karlovic,R,208,CRO,34.9,6-4 7-6(0),3,F,90,8,2,68,44,38,15,11,2,2,20,3,75,57,44,6,11,8,9,16,1965,80,667
2004-402,Memphis,Hard,32,A,20040216,31,104026,,,Joachim Johansson,R,198,SWE,21.6,103017,8,,Nicolas Kiefer,R,183,GER,26.6,7-6(5) 6-3,3,F,94,8,7,67,45,40,10,11,1,1,10,6,72,40,32,16,10,6,7,71,504,57,621
1999-402,Memphis,Hard,48,A,19990215,47,103163,3,,Tommy Haas,R,188,GER,20.8,101793,,WC,Jim Courier,R,185,USA,28.4,6-4 6-1,3,F,60,12,4,52,28,26,13,9,3,3,9,5,47,33,23,6,8,3,6,22,1505,69,704
1999-473,Merano,Clay,32,A,19990607,31,102950,,,Fernando Vicente,R,180,ESP,22.2,102271,3,,Hicham Arazi,L,175,MAR,25.6,6-2 3-6 7-6(1),3,F,124,2,2,98,66,42,16,15,9,15,0,2,89,58,33,14,14,7,13,62,734,44,947
2019-0341,Metz,Hard,32,A,20190916,300,104542,,,Jo-Wilfried Tsonga,R,188,FRA,34.4,105379,,,Aljaz Bedene,R,181,SLO,30.1,6-7(4) 7-6(4) 6-3,3,F,167,19,1,99,53,49,30,17,1,1,14,5,112,59,44,31,16,4,5,61,955,76,765
2009-341,Metz,Hard,28,A,20090921,27,104792,1,,Gael Monfils,R,193,FRA,23,104259,2,,Philipp Kohlschreiber,R,178,GER,25.9,7-6(1) 3-6 6-2,3,F,133,14,2,84,50,44,19,14,3,4,7,2,112,79,52,16,15,8,10,13,2355,23,1530
2017-0341,Metz,Hard,32,A,20170918,300,105376,,Q,Peter Gojowczyk,R,185,GER,28.1,105332,7,,Benoit Paire,R,196,FRA,28.3,7-5 6-2,3,F,67,3,2,54,35,30,10,10,0,0,12,8,75,43,34,9,10,3,6,95,544,41,1085
2015-341,Metz,Hard,28,A,20150921,27,104542,3,,Jo-Wilfried Tsonga,R,188,FRA,30.4,104468,2,,Gilles Simon,R,183,FRA,30.7,7-6(5) 1-6 6-2,3,F,,16,6,102,70,53,11,13,7,9,3,3,91,57,40,19,14,5,7,17,1740,10,2560
2010-341,Metz,Hard,28,A,20100920,27,104468,8,,Gilles Simon,R,183,FRA,25.7,104999,,Q,Mischa Zverev,L,190,GER,23,6-3 6-2,3,F,67,9,0,52,32,27,11,9,1,1,2,0,61,41,26,7,8,7,10,41,1055,155,315
2012-341,Metz,Hard,28,A,20120917,27,104542,1,,Jo-Wilfried Tsonga,R,188,FRA,27.4,104312,5,,Andreas Seppi,R,190,ITA,28.5,6-1 6-2,3,F,50,7,1,39,26,25,8,8,0,0,1,2,35,20,12,6,7,2,6,7,4520,28,1390
2013-341,Metz,Hard,28,A,20130916,27,104468,2,,Gilles Simon,R,183,FRA,28.7,104542,1,,Jo-Wilfried Tsonga,R,188,FRA,28.4,6-4 6-3,3,F,71,0,1,53,27,21,15,9,4,5,5,2,53,37,21,9,10,1,5,16,1950,8,3425
2006-341,Metz,Hard,32,A,20061002,31,104925,3,,Novak Djokovic,R,188,SRB,19.3,103781,,,Jurgen Melzer,L,183,AUT,25.3,4-6 6-3 6-2,3,F,111,10,1,88,58,41,16,14,7,9,2,5,90,45,31,20,13,7,11,22,1183,48,755
2005-341,Metz,Hard,32,A,20051003,31,103344,3,,Ivan Ljubicic,R,193,CRO,26.5,104792,6,,Gael Monfils,R,193,FRA,19,7-6(7) 6-0,3,F,89,12,2,58,36,33,10,9,1,2,5,2,58,26,18,14,9,3,7,16,1430,45,814
2018-0341,Metz,Hard,32,A,20180917,300,104468,,,Gilles Simon,R,183,FRA,33.7,104897,,Q,Matthias Bachinger,R,188,GER,31.4,7-6(2) 6-1,3,F,79,10,1,56,40,34,9,10,3,4,2,0,59,37,25,7,9,3,6,39,1115,166,340
2003-341,Metz,Hard,32,A,20030929,31,103096,4,,Arnaud Clement,R,173,FRA,25.7,103602,3,,Fernando Gonzalez,R,183,CHI,23.1,6-3 1-6 6-3,3,F,103,12,1,82,52,34,22,13,2,4,7,3,74,44,34,13,12,4,6,39,920,26,1110
2022-0341,Metz,Hard,32,A,20220919,300,132283,,,Lorenzo Sonego,R,191,ITA,27.3,122330,7,,Alexander Bublik,R,196,KAZ,25.2,7-6(3) 6-2,3,F,86,6,3,63,44,36,10,10,3,3,7,2,62,48,31,8,10,2,4,65,755,44,985
2008-341,Metz,Hard,32,A,20080929,31,104098,5,,Dmitry Tursunov,R,185,RUS,25.7,103908,4,,Paul Henri Mathieu,R,185,FRA,26.7,7-6(6) 1-6 6-4,3,F,144,11,5,102,58,41,22,15,5,9,6,0,93,53,39,23,14,6,8,32,1008,24,1125
2023-0341,Metz,Hard,32,A,20231106,300,200005,4,,Ugo Humbert,L,188,FRA,25.3,207686,,,Alexander Shevchenko,R,185,KAZ,22.9,6-3 6-3,3,F,67,4,0,45,29,25,12,9,1,1,4,2,55,34,25,9,9,4,7,23,1540,63,807
2016-0341,Metz,Hard,32,A,20160919,300,106298,3,,Lucas Pouille,R,185,FRA,22.5,106233,1,,Dominic Thiem,R,185,AUT,23,7-6(5) 6-2,3,F,78,10,0,59,33,27,19,10,1,1,6,1,67,39,30,13,10,5,7,18,1831,10,3295
2004-341,Metz,Hard,32,A,20041011,31,103592,,Q,Jerome Haehnel,R,185,FRA,24.2,104755,,WC,Richard Gasquet,R,185,FRA,18.3,7-6(9) 6-4,3,F,95,5,1,82,50,37,20,11,9,10,7,1,70,45,35,14,11,3,5,185,214,151,283
2011-341,Metz,Hard,28,A,20110919,27,104542,1,,Jo-Wilfried Tsonga,R,188,FRA,26.4,103344,4,,Ivan Ljubicic,R,193,CRO,32.5,6-3 6-7(4) 6-3,3,F,156,14,4,80,43,37,17,14,2,4,12,5,110,55,38,26,16,7,13,10,2710,29,1315
2024-0341,Metz,Hard,28,A,20241104,385,126127,,Q,Benjamin Bonzi,R,183,FRA,28.4,111815,,,Cameron Norrie,L,188,GBR,29.2,7-6(6) 6-4,3,F,114,10,0,89,60,45,15,11,13,14,5,2,68,47,34,13,11,4,6,124,473,57,962
2014-341,Metz,Hard,28,A,20140915,27,105676,8,,David Goffin,R,180,BEL,23.7,105311,6,,Joao Sousa,R,185,POR,25.4,6-4 6-3,3,F,74,10,2,51,33,27,12,9,4,4,2,0,60,37,23,13,10,6,9,45,923,39,1032
2007-341,Metz,Hard,32,A,20071001,31,103990,1,,Tommy Robredo,R,180,ESP,25.4,104918,3,,Andy Murray,R,190,GBR,20.3,0-6 6-2 6-3,3,F,113,1,2,69,47,32,9,11,3,6,3,2,85,43,24,21,12,4,8,9,1920,18,1340
2021-0341,Metz,Hard,32,A,20210920,300,128034,1,,Hubert Hurkacz,R,196,POL,24.6,105807,2,,Pablo Carreno Busta,R,188,ESP,30.1,7-6(2) 6-3,3,F,80,9,2,56,34,27,14,10,0,2,4,1,63,47,27,10,11,2,6,13,3128,16,2650
2000-807,Mexico City,Clay,32,A,20000221,31,103428,,Q,Juan Ignacio Chela,R,190,ARG,20.4,103264,,WC,Mariano Puerta,L,180,ARG,21.4,6-4 7-6(4),3,F,100,12,2,95,64,43,14,11,10,12,3,1,59,36,21,17,11,2,5,129,296,128,296
1998-807,Mexico City,Clay,32,A,19981026,31,102562,,,Jiri Novak,R,190,CZE,23.5,103598,,Q,Xavier Malisse,R,185,BEL,18.2,6-3 6-3,3,F,69,3,0,65,42,30,15,9,3,3,3,3,56,30,21,10,9,6,9,98,522,361,92
2002-403,Miami Masters,Hard,96,M,20020318,95,101736,9,,Andre Agassi,R,180,USA,31.8,103819,12,,Roger Federer,R,185,SUI,20.6,6-3 6-3 3-6 6-4,5,F,141,8,1,116,72,49,24,18,4,7,10,3,111,69,45,25,19,7,13,10,2195,14,1820
